Date,ADM,CONAGRA,CPB,GMILLS,HORMEL,SMUCKER,MKC,HSY,TYSONS,FMC,MOSAIC,SYSCO,ALICO,INGREDION,ANDERSONS,BUNGE,ALTRIA,SSTA
9/21/1992,10.689765,11.72179,20.0625,13.740562,2.5625,,13.5,11.09375,14.333333,9.675845,21.0625,6.3125,19.5,,,,28.416666,-0.2
9/28/1992,11.012069,11.770428,20.1875,13.714734,2.5,,13.5,11.28125,14.333333,9.730052,20.8125,6.15625,20.375,,,,27.791666,-0.1
10-05-92,10.743482,11.575875,20.9375,13.482282,2.46875,,13.3125,11.4375,13.75,9.404814,21.3125,6.15625,19.5,,,,27.25,-0.3
10-12-92,11.119504,11.673152,21.4375,13.947187,2.453125,,13.625,11.5625,13.916667,9.323503,21.1875,6.25,19.5,,,,25.75,-0.3
10/19/1992,11.710395,11.429961,21.25,14.024672,2.53125,,13.5,11.46875,13.916667,9.973981,22.25,6.46875,21.25,,,,24.833334,-0.5
10/26/1992,11.334373,11.624514,20.75,13.895532,2.65625,,13.6875,11.4375,13.916667,9.730052,21.625,6.375,20.75,,,,25.333334,-0.4
11-02-92,11.119504,11.819066,20.5,13.611422,2.6875,,13.5625,11.625,14.583333,9.648743,21.3125,6.625,21.25,,,,26,-0.4
11-09-92,11.388091,12.5,21.25,14.076328,2.875,,14,11.375,15.333333,9.675845,20.875,6.65625,20.5,,,,26.5,-0.1
11/16/1992,11.549243,12.451362,22.25,14.205469,2.96875,,14.125,11.4375,15.25,10.299219,19.75,6.6875,21.25,,,,26.583334,-0.2
11/23/1992,11.656678,12.597277,21.625,14.46375,2.90625,,14.3125,11.53125,15.5,10.705768,19.125,6.71875,20.875,,,,26.458334,0
11/30/1992,11.764112,12.645914,22.375,14.102157,2.875,,14.375,11.53125,15.916667,10.299219,20.5,6.59375,20,,,,27.291666,0.1
12-07-92,11.656678,12.597277,22,13.998844,2.953125,,14.5,11.46875,15.833333,10.570251,20.375,6.625,20.375,,,,26.333334,0.2
12/14/1992,11.388091,13.03502,22,14.46375,2.953125,,14.5,12,15.833333,10.543148,20.625,6.65625,20,,,,25.583334,0.1
12/21/1992,11.710395,13.03502,21.75,14.799516,2.96875,,14.375,11.65625,15.916667,10.299219,21.1875,6.59375,20.5,,,,25.875,0.2
12/28/1992,11.388091,12.889105,21.0625,14.153812,2.9375,,15.125,11.75,16.166666,10.732871,21.3125,6.59375,21,,,,25.708334,0
01-04-93,11.602961,12.305448,20.125,13.921359,2.921875,,13,11.78125,14.916667,10.949697,21.125,6.34375,20,,,,24.666666,0.1
