ArgentinaIPm ,IndiaIP ,KoreaGDP ,KoreaIP ,MalaysiaGDP ,MalaysiaIP ,TaiwanGDP ,TaiwanIP ,SingaporeGDP ,SingaporeIP ,HongKongGDP ,HongKongIP ,ChinaRGDP ,ChinaIP ,ThailandGDP ,ThailandIP ,BrasilGDP ,SorAfrikaGDP ,SorAfrikaIP ,PeruGDP ,PeruIP ,ChileGDP ,ChileIP ,IndonesiaRGDP 
0.04189969,0.03919403,0.0220162,0.02745402,-0.00913154,0.05977416,0.02314209,0.03158324,0.03226214,0.02419209,0.01550417,-0.00235945,0.02046802,0.21919155,0.01679299,0.05454207,0.006346,0.01393488,0.00877353,0.00795748,0.0056562,0.01920046,0.03077894,0.0072204
0.03378156,0.01849002,0.01459162,0.0312119,0.1042445,0.06817034,0.01652179,0.01076062,-0.00028383,-0.03016622,0.00717167,-0.02119829,0.0115814,-0.08939939,0.03507147,-0.00272927,0.00614837,0.01855759,0.02552743,0.01960816,0.02046695,0.01624681,-0.02622094,0.03279262
0.00740686,-0.01099871,0.01566182,-0.0115906,0.0360657,-0.01749467,0.00773872,0.01386387,0.0006463,-0.02494231,0.01176931,-0.01066438,0.02168102,-0.10253435,0.00363472,0.02016405,0.03248681,0.01128391,0.01218702,0.00358295,0.0234989,0.01696727,0.00262938,0.01899501
0.0032918,0.00520306,0.01746939,0.0230484,-0.01088527,0.01272214,0.010878,0.02585446,0.02828836,0.02227564,0.02209023,0.00743969,0.03235677,0.01034361,-0.00961377,0.02051874,-0.01825344,0.00943944,-0.0101455,0.01890912,0.00523626,0.00716315,0.01492742,0.03878694
0.0287228,0.01972002,0.00650189,-0.00063311,-0.00018319,0.06494845,0.01942894,0.01190454,0.02987441,-0.01750886,0.01699459,-0.0071945,0.01399739,-0.01089104,-0.01920017,0.00793685,0.01499423,0.00286871,0.00643743,0.02711445,-0.00634084,0.01362407,0.00866415,-0.01992768
0.03590374,0.02794692,0.02844529,0.04519494,0.07489611,0.03079398,0.01053144,0.01216499,0.03353772,0.05934503,0.01723668,-0.00578741,0.02186893,-0.01893684,0.0213091,0.00711768,0.01344734,0.00609814,0.03092516,0.01338544,0.06796724,0.01980987,0.0187094,0.01466744
0.0248622,0.01785246,0.00954371,0,0.04856551,0.01059583,0.01394232,0.02168228,0.01452673,0.0376929,0.00334071,0.01270233,-0.00137686,-0.16058815,-0.01006178,-0.02899533,0.0065153,0.00208691,-0.01185785,0.00757003,-0.01616966,0.0285418,0.01341082,0.01755472
-0.01409387,0.01729569,-0.00429764,-0.01647886,-0.00012146,0.01952575,0.01136938,0.03456066,-0.00768864,0.00246306,-0.02360362,0.00365348,0.04372471,-0.02989661,-0.03603486,-0.03084521,0.00403889,0.00150861,-0.01267106,0.0162389,-0.00128167,0.01447961,0.01745792,0.00079321
0.00104439,-0.00429426,0.0107043,-0.07804471,-0.14234433,-0.08206337,0.00661096,-0.0213481,-0.02448017,-0.03313839,-0.02942298,-0.05108905,0.0043573,-0.2878471,-0.05221352,-0.03651736,-0.01854358,0.00126308,-0.0213161,-0.01802443,-0.0280683,0.00026124,-0.02721409,-0.08173861
0.02508292,0.0131513,-0.01025112,-0.03589955,0.00023338,-0.04691982,0.00048277,0.00528073,-0.00933424,-0.0134402,-0.01294228,-0.02178054,0.01743949,0.02253304,-0.04766406,-0.0174643,0.01835608,0.00141364,-0.0110921,-0.02143797,-0.02622562,0.01630104,-0.00755239,-0.07999105
